symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
COTIUSDT,2025-05-14 05:45:00,2025-05-14 06:15:00,0.08893,1.8012474345272074e-07,1.625877083677921e-08,-7.536456011509471e-10,-0.04635317200277613,0.5,coil_reentry,1
ORDIUSDT,2025-05-15 00:45:00,2025-05-15 01:30:00,12.02,1.3163062803954181e-09,1.6059331512708217e-08,-8.042150263270512e-10,-0.05007773989164197,0.75,coil_reentry,1
PROMUSDT,2025-05-15 00:00:00,2025-05-15 01:30:00,5.567,2.8428268981953517e-09,1.6063407602387326e-08,-6.295174646021316e-10,-0.039189534386749506,1.5,coil_reentry,1
AMPUSDT,2025-05-15 02:00:00,2025-05-15 02:30:00,0.005142,2.9494923614935238e-06,1.5393784068641693e-08,-8.10383880452237e-10,-0.0526435785274558,0.5,coil_reentry,1
AMPUSDT,2025-05-16 00:15:00,2025-05-16 00:45:00,0.004784,3.188358929475801e-06,1.5481905755391416e-08,-6.292821773350568e-10,-0.0406462994464306,0.5,coil_reentry,1
XUSDUSDT,2025-05-16 02:15:00,2025-05-16 02:30:00,1.0,1.5091918097839622e-08,1.5318296869307214e-08,-4.859115138882758e-10,-0.03172098817733983,0.25,coil_reentry,1
SPELLUSDT,2025-05-16 07:15:00,2025-05-16 08:15:00,0.0006577,2.27559839518781e-05,1.5191109804827478e-08,-5.976103572513637e-10,-0.0393394797963644,1.0,coil_reentry,1
XUSDUSDT,2025-05-17 09:00:00,2025-05-17 11:00:00,0.9999,1.4814891767562934e-08,1.503561143256197e-08,-4.711135137638251e-10,-0.031333179623380995,2.0,volume_fade,1
HEIUSDT,2025-05-17 20:45:00,2025-05-17 21:00:00,0.3415,4.30106733069226e-08,1.4908467108328778e-08,-5.673638775945056e-10,-0.03805648652352338,0.25,coil_reentry,1
AMPUSDT,2025-05-17 20:45:00,2025-05-17 21:30:00,0.004468,3.2882437325620144e-06,1.4912251092043383e-08,-6.254526314186389e-10,-0.04194220091642347,0.75,coil_reentry,1
GALAUSDT,2025-05-18 05:00:00,2025-05-18 07:00:00,0.01897,7.581741269667786e-07,1.4598301636388186e-08,-2.886494379180543e-10,-0.019772809543718267,2.0,volume_fade,1
HEIUSDT,2025-05-18 05:00:00,2025-05-18 07:00:00,0.3441,4.1787020090528025e-08,1.4594597317347954e-08,-3.532156937274314e-10,-0.02420181153662797,2.0,volume_fade,1
MINAUSDT,2025-05-18 07:45:00,2025-05-18 09:45:00,0.2559,5.553400139673863e-08,1.4424318221786795e-08,-4.2743368544540643e-10,-0.029632851887571473,2.0,volume_fade,1
SUPERUSDT,2025-05-18 05:00:00,2025-05-18 09:45:00,0.7391,1.9449688761766143e-08,1.4590893938278674e-08,-3.3213562484204126e-11,-0.002276321288106246,4.75,volume_fade,1
BOMEUSDT,2025-05-18 05:00:00,2025-05-18 10:15:00,0.002159,6.663369008931775e-06,1.4602006895637955e-08,2.412246528305887e-10,0.01651996568380265,5.25,volume_fade,1
PORTALUSDT,2025-05-18 17:15:00,2025-05-18 17:30:00,0.0802,1.7646744674682314e-07,1.4364979567531642e-08,-8.175439460132535e-10,-0.05691229438718467,0.25,coil_reentry,1
XUSDUSDT,2025-05-19 01:45:00,2025-05-19 03:45:00,0.9999,1.3946106608360854e-08,1.4153882677665518e-08,-4.476031017358223e-10,-0.03162405058239808,2.0,volume_fade,1
TUTUSDT,2025-05-19 13:30:00,2025-05-19 13:45:00,0.02701,5.118757339369097e-07,1.4033150027240468e-08,-4.827199063827424e-10,-0.03439854241176856,0.25,coil_reentry,1
MUBARAKUSDT,2025-05-19 13:30:00,2025-05-19 14:00:00,0.0492,2.810827795039969e-07,1.4036711842870595e-08,-6.084905308152679e-10,-0.043349933918058386,0.5,coil_reentry,1
MINAUSDT,2025-05-19 16:45:00,2025-05-19 18:15:00,0.2517,5.383175477484949e-08,1.375269446698206e-08,-5.66010621095479e-10,-0.04115634375899041,1.5,coil_reentry,1
