symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
SOLUSDT,2023-10-20 04:00:00,2024-01-23 08:00:00,26.077,73.47288563279626,1944.6917252261246,3909.5357290810866,2.010362711152326,2284.0,trail_stop,1
UNIUSDT,2023-11-22 15:00:00,2024-01-23 13:00:00,5.705,204.456939479637,1183.9232423272988,-46.781527550599044,-0.0395139869529364,1486.0,trail_stop,1
SUIUSDT,2024-01-29 16:00:00,2024-01-31 00:00:00,1.5587,1222.4281304195952,1933.9797077882981,-151.45396579261927,-0.07831207596579295,32.0,trail_stop,1
TRXUSDT,2024-02-04 11:00:00,2024-02-05 17:00:00,0.11839,25560.214714283276,3071.4649273243563,-111.69897833787385,-0.036366678761062116,30.0,trail_stop,1
BTCUSDT,2024-02-12 15:00:00,2024-02-13 13:00:00,49917.8,0.060016366581769544,3040.823258511787,-137.49376357253735,-0.04521596682334913,22.0,trail_stop,1
SUIUSDT,2024-02-09 15:00:00,2024-02-20 15:00:00,1.6653,1740.871779856235,2942.559881619507,-181.23195009149472,-0.0615898936241017,264.0,trail_stop,1
ETHUSDT,2024-02-20 23:00:00,2024-02-21 06:00:00,3015.62,0.9665316116994328,2958.4124397561386,-157.06679770943006,-0.053091582363132925,7.0,trail_stop,1
BNBUSDT,2024-02-21 12:00:00,2024-02-21 14:00:00,371.9,7.7297277664311554,2917.8060426807824,-148.88408135201763,-0.05102603777433675,2.0,trail_stop,1
BNBUSDT,2024-02-21 23:00:00,2024-02-23 16:00:00,379.2,7.480841994955359,2879.286313754378,-160.41305566298658,-0.055712783718900025,41.0,trail_stop,1
ETHUSDT,2024-02-25 14:00:00,2024-02-25 16:00:00,3067.7,0.9114033963532572,2837.85088197778,-122.62695968192074,-0.04321120621970753,2.0,trail_stop,1
ETHUSDT,2024-02-25 19:00:00,2024-02-26 09:00:00,3081.63,0.8971051022841523,2806.014186297191,-127.45631374537406,-0.04542254788581988,14.0,trail_stop,1
BNBUSDT,2024-02-26 13:00:00,2024-03-05 19:00:00,393.8,6.937482007031475,2772.9601205845297,-134.86814844199375,-0.04863688714483353,198.0,trail_stop,1
LINKUSDT,2024-02-02 00:00:00,2024-03-05 19:00:00,17.817,135.80711094661828,2455.9704251719363,-108.56685205035463,-0.0442052766342877,787.0,trail_stop,1
APTUSDT,2024-03-06 06:00:00,2024-03-08 08:00:00,14.5184,55.15568948343887,812.7839476293042,-104.45013968235772,-0.12850910747808655,50.0,trail_stop,1
BNBUSDT,2024-03-08 12:00:00,2024-03-08 15:00:00,480.6,5.501209963305757,2683.539730990218,-143.663018029153,-0.053534895112636094,3.0,trail_stop,1
FILUSDT,2024-03-08 17:00:00,2024-03-10 14:00:00,10.931,148.8182002810906,1651.1327234816902,-129.02393372607168,-0.07814267859339805,45.0,trail_stop,1
