symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
MINAUSDT,2024-11-16 18:00:00,2024-11-17 16:00:00,0.6857,466.56905231205604,324.72529515793246,-22.71628028602689,-0.06995537651287272,22.0,trail_stop,1
STORJUSDT,2024-11-19 06:00:00,2024-11-19 14:00:00,0.527,525.1000735591679,280.8786548471667,-21.02372215670406,-0.07484983922378727,8.0,trail_stop,1
ZENUSDT,2024-11-10 08:00:00,2024-11-20 18:00:00,8.57,58.12947398324479,505.6421359169539,-26.237476326657028,-0.05188941835133423,250.0,trail_stop,1
ACEUSDT,2024-11-21 18:00:00,2024-11-22 02:00:00,2.596,78.0347053527083,205.6167665220652,-18.300067681498778,-0.08900085334011396,8.0,trail_stop,1
MINAUSDT,2024-11-23 06:00:00,2024-11-24 11:00:00,0.7312,375.4068585324807,278.6149573833341,-20.460842863288708,-0.0734377043337897,29.0,trail_stop,1
STORJUSDT,2024-11-23 01:00:00,2024-11-24 16:00:00,0.5409,604.0253401377748,331.61806607773025,-22.134324210613705,-0.0667464365630354,39.0,trail_stop,1
AIUSDT,2024-11-24 23:00:00,2024-11-25 01:00:00,0.6297,283.773110417518,181.37230654435973,-17.07750273218519,-0.09415716796879575,2.0,trail_stop,1
PORTALUSDT,2024-11-24 20:00:00,2024-11-25 15:00:00,0.3958,387.4180346636606,155.640158991675,-16.267391549746993,-0.10451924268862456,19.0,trail_stop,1
ZKUSDT,2024-11-25 10:00:00,2024-11-25 15:00:00,0.1768,1412.6792783408625,253.50812185682446,-19.224362893760052,-0.07583332144528895,5.0,trail_stop,1
PROMUSDT,2024-11-25 16:00:00,2024-11-25 23:00:00,6.298,51.627415932162684,330.02670752387195,-21.372967446848694,-0.06476132676414595,7.0,trail_stop,1
PROMUSDT,2024-11-26 02:00:00,2024-11-26 07:00:00,6.616,32.20048854762871,216.23400871457818,-17.625243842493816,-0.08151004528505301,5.0,trail_stop,1
SCRTUSDT,2024-11-17 10:00:00,2024-12-09 03:00:00,0.2359,1237.7790349584943,296.3719554619094,468.71855992664325,1.5815212987886242,521.0,trail_stop,1
AIUSDT,2024-11-27 17:00:00,2024-12-09 20:00:00,0.6478,320.4836803733919,210.72346806807153,3.5111176088442173,0.016662204931583584,291.0,trail_stop,1
COTIUSDT,2024-11-22 20:00:00,2024-12-09 20:00:00,0.11858,1828.5194886663076,220.07822858054152,42.0022775352937,0.1908515794869833,408.0,trail_stop,1
ZENUSDT,2024-11-27 10:00:00,2024-12-09 20:00:00,13.81,13.34535739201978,187.06387636755005,6.5778499227215415,0.035163656663444405,298.0,trail_stop,1
SUPERUSDT,2024-12-12 12:00:00,2024-12-12 14:00:00,2.2612,125.15155829725222,287.23759417607295,-23.572807649888073,-0.08206727854515536,2.0,trail_stop,1
DEXEUSDT,2024-12-23 14:00:00,2024-12-27 06:00:00,13.038,9.93044295137354,131.41521192800832,-18.483116510918133,-0.14064670474407123,88.0,trail_stop,1
DEXEUSDT,2025-01-02 05:00:00,2025-01-06 14:00:00,16.936,17.21120443980365,295.86129276840234,-23.53024615482896,-0.07953134367342954,105.0,trail_stop,1
STORJUSDT,2025-01-06 07:00:00,2025-01-07 07:00:00,0.571,758.2085470105171,439.4311365481503,-28.052052312822255,-0.06383719763960895,24.0,trail_stop,1
ZENUSDT,2024-12-20 14:00:00,2025-01-07 14:00:00,19.87,6.547131784703332,132.042881190486,38.87281062528824,0.29439535304603087,432.0,trail_stop,1
AIUSDT,2025-01-02 07:00:00,2025-01-08 04:00:00,0.7229,434.01795739920516,318.45785512494365,-24.240466601567743,-0.07611828758960035,141.0,trail_stop,1
ONGUSDT,2025-01-09 10:00:00,2025-01-10 00:00:00,0.3962,417.84667034130365,168.03411355106286,-19.219755095211486,-0.11438007847954583,14.0,trail_stop,1
PROMUSDT,2025-01-12 08:00:00,2025-01-12 09:00:00,7.148,44.21496633625142,320.789308062098,-23.8925983443581,-0.07448065675472264,1.0,stop,1
PROMUSDT,2025-01-12 10:00:00,2025-01-12 11:00:00,8.293,25.576016712245877,215.28343519357486,-20.387607290617343,-0.09470123547724685,1.0,stop,1
PROMUSDT,2025-01-13 09:00:00,2025-01-13 10:00:00,8.65,13.77975171491641,120.98277511903734,-17.262529902895547,-0.1426858483442011,1.0,stop,1
PROMUSDT,2025-01-15 12:00:00,2025-01-15 13:00:00,9.32,24.67441014540461,233.41498509349853,-20.67889843076324,-0.08859284858030833,1.0,stop,1
SPELLUSDT,2025-01-17 21:00:00,2025-01-18 05:00:00,0.0010753,156913.37195528555,171.2598830964713,-18.563906187565095,-0.10839611619440369,8.0,trail_stop,1
